Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
B1_CO875-001_hisat2_output	52067942	0	5594454	0	0	0	0	0	48609107	0	93.36	nan	46473488	0	23236744	0	23236744	0	40724072	0	87.63	nan	41136880	0	1877773	0	4.04	nan	245100	0	216459	0	52067942
B2_CO875-001_hisat2_output	47197687	0	2978519	0	0	0	0	0	44306387	0	93.87	nan	44219168	0	22109584	0	22109584	0	39566284	0	89.48	nan	39925360	0	1402508	0	3.17	nan	222268	0	199953	0	47197687
B3_CO875-001_hisat2_output	45487724	0	2831214	0	0	0	0	0	43385522	0	95.38	nan	42656510	0	21328255	0	21328255	0	38845504	0	91.07	nan	39231158	0	1323150	0	3.1	nan	252176	0	228125	0	45487724
B4_CO875-001_hisat2_output	51470099	0	3731669	0	0	0	0	0	48981506	0	95.16	nan	47738430	0	23869215	0	23869215	0	43164270	0	90.42	nan	43628334	0	1621503	0	3.4	nan	293716	0	264894	0	51470099
D1_CO875-001_hisat2_output	49520784	0	2854206	0	0	0	0	0	47167424	0	95.25	nan	46666578	0	23333289	0	23333289	0	42291652	0	90.63	nan	42725878	0	1587340	0	3.4	nan	277548	0	250805	0	49520784
D2_CO875-001_hisat2_output	46505279	0	2163347	0	0	0	0	0	44300721	0	95.26	nan	44341932	0	22170966	0	22170966	0	40363152	0	91.03	nan	40709610	0	1427764	0	3.22	nan	198640	0	179296	0	46505279
D3_CO875-001_hisat2_output	49546495	0	3267623	0	0	0	0	0	47171003	0	95.21	nan	46278872	0	23139436	0	23139436	0	41914202	0	90.57	nan	42368526	0	1534854	0	3.32	nan	280422	0	254917	0	49546495
D4_CO875-001_hisat2_output	53346706	0	4181144	0	0	0	0	0	50718254	0	95.07	nan	49165562	0	24582781	0	24582781	0	44402122	0	90.31	nan	44872164	0	1664946	0	3.39	nan	246816	0	219465	0	53346706
G1_CO875-001_hisat2_output	48498372	0	3553126	0	0	0	0	0	46299125	0	95.47	nan	44945246	0	22472623	0	22472623	0	40869366	0	90.93	nan	41287188	0	1458811	0	3.25	nan	274202	0	247318	0	48498372
G2_CO875-001_hisat2_output	47297557	0	2864257	0	0	0	0	0	45020087	0	95.18	nan	44433300	0	22216650	0	22216650	0	40260324	0	90.61	nan	40685844	0	1469986	0	3.31	nan	280200	0	257097	0	47297557
G3_CO875-001_hisat2_output	47138033	0	3247441	0	0	0	0	0	44847209	0	95.14	nan	43890592	0	21945296	0	21945296	0	39719658	0	90.5	nan	40158648	0	1441120	0	3.28	nan	266886	0	239295	0	47138033
G4_CO875-001_hisat2_output	50784729	0	2995425	0	0	0	0	0	48299272	0	95.11	nan	47789304	0	23894652	0	23894652	0	43298160	0	90.6	nan	43746464	0	1557383	0	3.26	nan	242578	0	217692	0	50784729
WT1_CO875-001_hisat2_output	49193928	0	3893600	0	0	0	0	0	46240423	0	94.0	nan	45300328	0	22650164	0	22650164	0	40213990	0	88.77	nan	40608682	0	1738141	0	3.84	nan	217852	0	192391	0	49193928
WT2_CO875-001_hisat2_output	47179244	0	3434804	0	0	0	0	0	45006246	0	95.39	nan	43744440	0	21872220	0	21872220	0	39789264	0	90.96	nan	40146564	0	1424878	0	3.26	nan	220576	0	198725	0	47179244
WT3_CO875-001_hisat2_output	49040790	0	3387026	0	0	0	0	0	45983510	0	93.77	nan	45653764	0	22826882	0	22826882	0	40563180	0	88.85	nan	40936358	0	1660126	0	3.64	nan	219824	0	193880	0	49040790
WT4_CO875-001_hisat2_output	51971189	0	5097669	0	0	0	0	0	49226019	0	94.72	nan	46873520	0	23436760	0	23436760	0	41979812	0	89.56	nan	42406744	0	1721606	0	3.67	nan	279338	0	246591	0	51971189
