Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
B1_CO875-001_stats_hisat2	23236744	23236744	2874708	19640126	721910	120542	3458835	1633121	416376	92.56	208188.0	1729417.5	816560.5
B2_CO875-001_stats_hisat2	22109584	22109584	2326442	19240826	542316	108922	2891300	1387627	156113	93.46	78056.5	1445650.0	693813.5
B3_CO875-001_stats_hisat2	21328255	21328255	1905503	18925873	496879	117557	2102202	1331743	141947	95.07	70973.5	1051101.0	665871.5
B4_CO875-001_stats_hisat2	23869215	23869215	2287080	20987838	594297	141586	2488593	1599338	203057	94.79	101528.5	1244296.5	799669.0
D1_CO875-001_stats_hisat2	23333289	23333289	2187463	20638414	507412	134267	2353360	1605808	147224	94.96	73612.0	1176680.0	802904.0
D2_CO875-001_stats_hisat2	22170966	22170966	1989390	19735060	446516	106238	2204558	1458394	103352	95.03	51676.0	1102279.0	729197.0
D3_CO875-001_stats_hisat2	23139436	23139436	2182335	20404097	553004	141682	2375492	1525974	179840	94.87	89920.0	1187746.0	762987.0
D4_CO875-001_stats_hisat2	24582781	24582781	2381720	21548731	652330	142977	2628452	1622291	226743	94.65	113371.5	1314226.0	811145.5
G1_CO875-001_stats_hisat2	22472623	22472623	2037940	19864961	569722	128605	2199247	1438327	181096	95.11	90548.0	1099623.5	719163.5
G2_CO875-001_stats_hisat2	22216650	22216650	2086488	19626335	503827	132590	2277470	1479993	150333	94.87	75166.5	1138735.0	739996.5
G3_CO875-001_stats_hisat2	21945296	21945296	2085467	19336869	522960	136221	2290824	1432334	175334	94.78	87667.0	1145412.0	716167.0
G4_CO875-001_stats_hisat2	23894652	23894652	2245572	21114426	534654	140181	2485457	1569489	155836	94.8	77918.0	1242728.5	784744.5
WT1_CO875-001_stats_hisat2	22650164	22650164	2543169	19528252	578743	120808	2953505	1667558	223659	93.48	111829.5	1476752.5	833779.0
WT2_CO875-001_stats_hisat2	21872220	21872220	1977588	19358659	535973	109267	2172998	1389730	173914	95.03	86957.0	1086499.0	694865.0
WT3_CO875-001_stats_hisat2	22826882	22826882	2545292	19738585	543005	108703	3057280	1614931	200967	93.3	100483.5	1528640.0	807465.5
WT4_CO875-001_stats_hisat2	23436760	23436760	2446854	20344037	645869	123319	2745170	1543762	358138	94.14	179069.0	1372585.0	771881.0
