Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools Flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate
B1_CO875-001	75.06631307725385	17442967		
B1_CO875-001_hisat2_output			48609107	
B1_CO875-001_stats_hisat2				92.56
B2_CO875-001	76.25487661821226	16859636		
B2_CO875-001_hisat2_output			44306387	
B2_CO875-001_stats_hisat2				93.46
B3_CO875-001	68.0882707000643	14522040		
B3_CO875-001_hisat2_output			43385522	
B3_CO875-001_stats_hisat2				95.07
B4_CO875-001	67.25826970011373	16054021		
B4_CO875-001_hisat2_output			48981506	
B4_CO875-001_stats_hisat2				94.79
D1_CO875-001	67.71926580946219	15801132		
D1_CO875-001_hisat2_output			47167424	
D1_CO875-001_stats_hisat2				94.96
D2_CO875-001	65.59251861195403	14542495		
D2_CO875-001_hisat2_output			44300721	
D2_CO875-001_stats_hisat2				95.03
D3_CO875-001	68.58830958541945	15870948		
D3_CO875-001_hisat2_output			47171003	
D3_CO875-001_stats_hisat2				94.87
D4_CO875-001	70.63438021922744	17363895		
D4_CO875-001_hisat2_output			50718254	
D4_CO875-001_stats_hisat2				94.65
G1_CO875-001	74.98868734637696	16851925		
G1_CO875-001_hisat2_output			46299125	
G1_CO875-001_stats_hisat2				95.11
G2_CO875-001	72.55994940731388	16120390		
G2_CO875-001_hisat2_output			45020087	
G2_CO875-001_stats_hisat2				94.87
G3_CO875-001	67.7053661067046	14858143		
G3_CO875-001_hisat2_output			44847209	
G3_CO875-001_stats_hisat2				94.78
G4_CO875-001	65.91705122970612	15750650		
G4_CO875-001_hisat2_output			48299272	
G4_CO875-001_stats_hisat2				94.8
WT1_CO875-001	68.90106844259493	15606205		
WT1_CO875-001_hisat2_output			46240423	
WT1_CO875-001_stats_hisat2				93.48
WT2_CO875-001	68.77150101818654	15041854		
WT2_CO875-001_hisat2_output			45006246	
WT2_CO875-001_stats_hisat2				95.03
WT3_CO875-001	66.38908896975066	15154559		
WT3_CO875-001_hisat2_output			45983510	
WT3_CO875-001_stats_hisat2				93.3
WT4_CO875-001	67.42095323756355	15801287		
WT4_CO875-001_hisat2_output			49226019	
WT4_CO875-001_stats_hisat2				94.14
