Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
B1_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	348.0973643720877	91.9827817286152	True	True	4096	mapping	False	179883	0	388655	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23236744	17442967	0	336622	1728219	16949396	75.06631307725385	quant	Thu Mar 27 10:38:08 2025	Thu Mar 27 10:43:41 2025
B2_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	400.57985188181084	99.58164577208383	True	True	4096	mapping	False	179883	0	393111	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22109584	16859636	0	203064	1556119	13034057	76.25487661821226	quant	Thu Mar 27 10:38:08 2025	Thu Mar 27 10:43:32 2025
B3_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	384.45581097400344	100.56686724916831	True	True	4096	mapping	False	179883	0	374257	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21328255	14522040	0	192631	1842899	15046349	68.0882707000643	quant	Thu Mar 27 10:38:08 2025	Thu Mar 27 10:43:41 2025
B4_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	391.44927543928895	100.46346742652051	True	True	4096	mapping	False	179883	0	405406	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23869215	16054021	0	228915	2136834	16941304	67.25826970011373	quant	Thu Mar 27 10:38:08 2025	Thu Mar 27 10:47:22 2025
D1_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	421.19858867084173	95.53590615984754	True	True	4096	mapping	False	179883	0	397605	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23333289	15801132	0	176057	2043189	14745165	67.71926580946219	quant	Thu Mar 27 11:08:12 2025	Thu Mar 27 11:14:07 2025
D2_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	389.21345668764485	95.33279189092525	True	True	4096	mapping	False	179883	0	372327	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22170966	14542495	0	208450	2058049	15545802	65.59251861195403	quant	Thu Mar 27 11:08:12 2025	Thu Mar 27 11:14:03 2025
D3_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	391.4837567208664	93.32994587963829	True	True	4096	mapping	False	179883	0	390479	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23139436	15870948	0	241665	2063313	16271151	68.58830958541945	quant	Thu Mar 27 11:08:12 2025	Thu Mar 27 11:13:58 2025
D4_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	401.2118111044634	94.91754228630428	True	True	4096	mapping	False	179883	0	410348	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24582781	17363895	0	249482	2104582	16553208	70.63438021922744	quant	Thu Mar 27 11:08:12 2025	Thu Mar 27 11:14:10 2025
G1_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	396.32964674735416	96.60152470408917	True	True	4096	mapping	False	179883	0	397060	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22472623	16851925	0	184771	1668963	13478575	74.98868734637696	quant	Thu Mar 27 11:08:12 2025	Thu Mar 27 11:13:49 2025
G2_CO875-001	1.3.0	none	vb	[]	1	['ISR']	1001	403.4531618210346	101.27225154177222	True	True	4096	mapping	False	179883	0	396181	False	['range_factorized', 'gzipped']	[556, 747, 1349, 2636, 101518]	a9728b91ceef59f96530cb7a94a1a042c9edffc4703dd278413f008ce56637b3	52a00c5fd0600506ee94cb8202694689c39da97861a52b4db603c976ba6ba54a	f06d8abea9c51978a3e30f6a2ff4ecf7715e400c202009370809a3dcb8af22b038f1273eccd78259400ae48e96b64bdef881fd1790e0c1f1e5f3ed602bbac4b4	f60bd7960702d27be4655275c3536efa3027835e8ad9322e98b7d71fb47a636e0a296addfc2747604facdbe2e38c936dba508dd670adee4a7b7a5ed3255faa40	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22216650	16120390	0	192370	1776580	14028817	72.55994940731388	quant	Thu Mar 27 11:08:13 2025	Thu Mar 27 11:18:39 2025
