Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
B1_CO875-001_R1_screen	99177	99.02	100158	20839	20.81	20650	20.61	634	0.63	996	0.99	283	0.29	463	0.45999999999999996	5	0.0	49	0.05	734	0.73	0	0.0	0	0.0	989	0.98	333	0.32999999999999996	911	0.91
B1_CO875-001_R2_screen	98476	98.33	100158	22097	22.07	22181	22.15	554	0.55	1295	1.29	204	0.2	369	0.36	3	0.0	71	0.07	733	0.7300000000000001	0	0.0	0	0.0	1108	1.1	9	0.01	1221	1.22
B2_CO875-001_R1_screen	97863	97.82000000000001	100043	18542	18.53	18458	18.439999999999998	557	0.5599999999999999	575	0.5700000000000001	224	0.22	493	0.49	24	0.03	55	0.060000000000000005	918	0.9199999999999999	0	0.0	0	0.0	500	0.49	163	0.16	1970	1.97
B2_CO875-001_R2_screen	96989	96.95	100043	20532	20.53	20469	20.47	496	0.49	1208	1.2	155	0.15	452	0.45999999999999996	20	0.02	19	0.01	906	0.9	0	0.0	0	0.0	1072	1.07	7	0.0	2481	2.48
B3_CO875-001_R1_screen	99541	99.39999999999999	100132	17207	17.18	17195	17.17	418	0.42000000000000004	489	0.49	125	0.12000000000000001	236	0.24	3	0.0	44	0.05	697	0.7000000000000001	0	0.0	0	0.0	439	0.43	179	0.18	560	0.56
B3_CO875-001_R2_screen	98832	98.69000000000001	100132	19048	19.02	19080	19.060000000000002	397	0.39	1175	1.1700000000000002	139	0.14	306	0.3	0	0.0	34	0.03	678	0.68	0	0.0	0	0.0	1044	1.04	6	0.0	921	0.92
B4_CO875-001_R1_screen	99318	99.44	99871	16990	17.0	16989	17.009999999999998	453	0.45999999999999996	497	0.5	192	0.19	277	0.27	2	0.0	11	0.01	634	0.64	0	0.0	0	0.0	447	0.45	147	0.15	529	0.53
B4_CO875-001_R2_screen	98629	98.76999999999998	99871	18470	18.5	18609	18.630000000000003	414	0.41000000000000003	1113	1.12	147	0.15	297	0.29000000000000004	1	0.0	9	0.01	632	0.64	0	0.0	0	0.0	972	0.9800000000000001	1	0.0	868	0.87
D1_CO875-001_R1_screen	99578	99.44	100142	16153	16.13	15949	15.92	453	0.44999999999999996	475	0.47	170	0.16999999999999998	290	0.29000000000000004	1	0.0	7	0.0	647	0.64	0	0.0	0	0.0	395	0.39	106	0.09999999999999999	530	0.53
D1_CO875-001_R2_screen	98559	98.41999999999999	100142	18106	18.07	18073	18.049999999999997	398	0.4	1614	1.61	131	0.13	296	0.29000000000000004	0	0.0	7	0.0	637	0.64	0	0.0	0	0.0	1502	1.5	5	0.0	901	0.9
D2_CO875-001_R1_screen	99284	99.42000000000002	99869	16135	16.15	16012	16.02	467	0.48	543	0.54	200	0.2	319	0.32	1	0.0	33	0.03	771	0.77	0	0.0	0	0.0	498	0.5	258	0.26	549	0.55
D2_CO875-001_R2_screen	98614	98.75000000000001	99869	17463	17.49	17449	17.46	431	0.43000000000000005	1149	1.1500000000000001	156	0.16	298	0.30000000000000004	3	0.0	28	0.03	770	0.77	0	0.0	0	0.0	998	1.0	0	0.0	868	0.87
D3_CO875-001_R1_screen	99546	99.38	100170	17003	16.96	16991	16.96	512	0.51	468	0.47	200	0.2	328	0.32	14	0.01	14	0.01	483	0.48	0	0.0	0	0.0	415	0.41000000000000003	223	0.22	580	0.58
D3_CO875-001_R2_screen	99009	98.84	100170	18581	18.54	18826	18.79	464	0.46	904	0.8999999999999999	179	0.18	322	0.31	8	0.0	17	0.02	462	0.45999999999999996	0	0.0	0	0.0	772	0.77	5	0.0	941	0.94
D4_CO875-001_R1_screen	99251	99.32	99930	17641	17.66	17466	17.48	547	0.55	607	0.6100000000000001	231	0.23	363	0.36000000000000004	10	0.01	71	0.07	475	0.48	0	0.0	0	0.0	527	0.52	203	0.21000000000000002	629	0.63
D4_CO875-001_R2_screen	98607	98.68	99930	19380	19.39	19653	19.669999999999998	454	0.45999999999999996	1192	1.1900000000000002	168	0.16	341	0.34	4	0.0	68	0.06999999999999999	460	0.45999999999999996	0	0.0	0	0.0	1045	1.04	6	0.01	909	0.91
G1_CO875-001_R1_screen	99273	99.4	99878	17920	17.95	17966	17.98	552	0.55	569	0.57	201	0.21	308	0.30000000000000004	3	0.0	33	0.03	739	0.74	0	0.0	0	0.0	469	0.47	138	0.14	559	0.56
G1_CO875-001_R2_screen	98654	98.78	99878	19920	19.939999999999998	19788	19.81	468	0.47	1296	1.29	144	0.14	292	0.29000000000000004	5	0.0	27	0.03	736	0.74	0	0.0	0	0.0	1155	1.1600000000000001	8	0.01	799	0.8
