Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B1_CO875-001_R1	B1_CO875-001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23236744.0	0.0	150.0	47.0	48.31030326784486	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
B1_CO875-001_R2	B1_CO875-001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23236744.0	0.0	150.0	48.0	45.47007123516219	150.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
B2_CO875-001_R1	B2_CO875-001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22109584.0	0.0	150.0	45.0	51.53133231900956	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
B2_CO875-001_R2	B2_CO875-001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22109584.0	0.0	150.0	46.0	49.51182906942107	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B3_CO875-001_R1	B3_CO875-001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21328255.0	0.0	150.0	44.0	56.689571294645134	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
B3_CO875-001_R2	B3_CO875-001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21328255.0	0.0	150.0	45.0	55.1391541092157	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
B4_CO875-001_R1	B4_CO875-001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23869215.0	0.0	150.0	44.0	56.72054804990877	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
B4_CO875-001_R2	B4_CO875-001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23869215.0	0.0	150.0	45.0	55.0533071431904	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
D1_CO875-001_R1	D1_CO875-001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23333289.0	0.0	150.0	44.0	55.85899240232818	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
D1_CO875-001_R2	D1_CO875-001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23333289.0	0.0	150.0	45.0	54.630389264012265	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	fail	pass
