Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B1_CO875-001_R1	51.68969673215514	47.0	150.0	18.181818181818183	23236744.0
B1_CO875-001_R2	54.52992876483781	48.0	150.0	18.181818181818183	23236744.0
B2_CO875-001_R1	48.46866768099044	45.0	150.0	9.090909090909092	22109584.0
B2_CO875-001_R2	50.48817093057893	46.0	150.0	9.090909090909092	22109584.0
B3_CO875-001_R1	43.310428705354866	44.0	150.0	9.090909090909092	21328255.0
B3_CO875-001_R2	44.8608458907843	45.0	150.0	0.0	21328255.0
B4_CO875-001_R1	43.27945195009123	44.0	150.0	9.090909090909092	23869215.0
B4_CO875-001_R2	44.9466928568096	45.0	150.0	0.0	23869215.0
D1_CO875-001_R1	44.14100759767182	44.0	150.0	9.090909090909092	23333289.0
D1_CO875-001_R2	45.369610735987735	45.0	150.0	9.090909090909092	23333289.0
D2_CO875-001_R1	41.133313697932316	43.0	150.0	9.090909090909092	22170966.0
D2_CO875-001_R2	42.050306099391	44.0	150.0	0.0	22170966.0
D3_CO875-001_R1	44.68570630988909	44.0	150.0	9.090909090909092	23139436.0
D3_CO875-001_R2	46.190131410542925	45.0	150.0	0.0	23139436.0
D4_CO875-001_R1	45.86378703958813	45.0	150.0	9.090909090909092	24582781.0
D4_CO875-001_R2	49.41016696188534	46.0	150.0	0.0	24582781.0
G1_CO875-001_R1	47.78121549172087	45.0	150.0	9.090909090909092	22472623.0
G1_CO875-001_R2	49.87275386231317	46.0	150.0	0.0	22472623.0
G2_CO875-001_R1	45.38879220483947	44.0	150.0	9.090909090909092	22216650.0
G2_CO875-001_R2	47.38923805279502	45.0	150.0	0.0	22216650.0
G3_CO875-001_R1	42.12760118020573	44.0	150.0	9.090909090909092	21945296.0
G3_CO875-001_R2	45.173100889360654	45.0	150.0	0.0	21945296.0
G4_CO875-001_R1	42.29780578521171	43.0	150.0	9.090909090909092	23894652.0
G4_CO875-001_R2	43.8582925185364	44.0	150.0	0.0	23894652.0
WT1_CO875-001_R1	44.87037668084161	45.0	150.0	9.090909090909092	22650164.0
WT1_CO875-001_R2	47.34840918412092	46.0	150.0	9.090909090909092	22650164.0
WT2_CO875-001_R1	43.5597707029901	45.0	150.0	9.090909090909092	21872220.0
WT2_CO875-001_R2	46.17810070941582	45.0	150.0	0.0	21872220.0
WT3_CO875-001_R1	43.20178309068646	44.0	150.0	9.090909090909092	22826882.0
WT3_CO875-001_R2	45.556924127088735	45.0	150.0	0.0	22826882.0
WT4_CO875-001_R1	45.01351326813978	46.0	150.0	9.090909090909092	23436760.0
WT4_CO875-001_R2	47.328301281342824	47.0	150.0	9.090909090909092	23436760.0
