Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
B1_CO875-001_hisat2_output	27006721	17780802	790531	0	0	0	208140	0	0	0	0	0	6638633	0	1588615	65.83843332924422
B2_CO875-001_hisat2_output	23920934	17221061	744396	0	0	0	189176	0	0	0	0	0	4574840	0	1191461	71.9915911310152
B3_CO875-001_hisat2_output	23032675	15010437	389526	0	0	0	215434	0	0	0	0	0	6339341	0	1077937	65.17018539965505
B4_CO875-001_hisat2_output	26162961	16605954	433545	0	0	0	246858	0	0	0	0	0	7677817	0	1198787	63.47123324458573
D1_CO875-001_hisat2_output	25057168	16404401	383010	0	0	0	237718	0	0	0	0	0	7010940	0	1021099	65.46789725000049
D2_CO875-001_hisat2_output	23443096	15188368	388397	0	0	0	169871	0	0	0	0	0	6653839	0	1042621	64.78823445503956
D3_CO875-001_hisat2_output	25156070	16337130	420319	0	0	0	228742	0	0	0	0	0	6925579	0	1244300	64.94309325741263
D4_CO875-001_hisat2_output	27171468	17836679	481753	0	0	0	213694	0	0	0	0	0	7207205	0	1432137	65.6448852892306
G1_CO875-001_hisat2_output	24641695	17261073	370218	0	0	0	235273	0	0	0	0	0	5575879	0	1199252	70.04823734730911
G2_CO875-001_hisat2_output	23960255	16606650	403742	0	0	0	221226	0	0	0	0	0	5658498	0	1070139	69.30915384665145
G3_CO875-001_hisat2_output	23937047	15338173	424852	0	0	0	229173	0	0	0	0	0	6896883	0	1047966	64.07713115155767
G4_CO875-001_hisat2_output	25704145	16397834	464037	0	0	0	206751	0	0	0	0	0	7513707	0	1121816	63.79451251928434
WT1_CO875-001_hisat2_output	25072825	16175337	607682	0	0	0	200484	0	0	0	0	0	6748629	0	1340693	64.51342040635627
WT2_CO875-001_hisat2_output	23975302	15621472	374060	0	0	0	190107	0	0	0	0	0	6663831	0	1125832	65.15651815355652
WT3_CO875-001_hisat2_output	24937212	15638886	698577	0	0	0	196778	0	0	0	0	0	6966769	0	1436202	62.713049077017914
WT4_CO875-001_hisat2_output	26841178	16299937	511782	0	0	0	244362	0	0	0	0	0	8468325	0	1316772	60.727353322570266
