Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
B1_CO875-001_hisat2_output	65.83843332924422	17780802
B2_CO875-001_hisat2_output	71.9915911310152	17221061
B3_CO875-001_hisat2_output	65.17018539965505	15010437
B4_CO875-001_hisat2_output	63.47123324458573	16605954
D1_CO875-001_hisat2_output	65.46789725000049	16404401
D2_CO875-001_hisat2_output	64.78823445503956	15188368
D3_CO875-001_hisat2_output	64.94309325741263	16337130
D4_CO875-001_hisat2_output	65.6448852892306	17836679
G1_CO875-001_hisat2_output	70.04823734730911	17261073
G2_CO875-001_hisat2_output	69.30915384665145	16606650
G3_CO875-001_hisat2_output	64.07713115155767	15338173
G4_CO875-001_hisat2_output	63.79451251928434	16397834
WT1_CO875-001_hisat2_output	64.51342040635627	16175337
WT2_CO875-001_hisat2_output	65.15651815355652	15621472
WT3_CO875-001_hisat2_output	62.713049077017914	15638886
WT4_CO875-001_hisat2_output	60.727353322570266	16299937
